1. Train: 007C, current station: , route: 
2. Train: 007C, current station: , route: 
3. Train: 7X85, current station: , route: 
4. Train: 007C, current station: , route: 
5. Train: 002C, current station: , route: 
6. Train: 002C, current station: , route: 
7. Train: 002C, current station: , route: 
8. Train: 002C, current station: , route: 
9. Train: 002C, current station: , route: 
10. Train: 002C, current station: , route: 
11. Train: 002C, current station: , route: 
12. Train: 010C, current station: , route: 
13. Train: 155G, current station: , route: 
