1. Passenger, seats amount: 40
2. Passenger, seats amount: 40
3. Passenger, seats amount: 40
4. Passenger, seats amount: 40
5. Passenger, seats amount: 40
6. Passenger, seats amount: 25
7. Passenger, seats amount: 25
8. Passenger, seats amount: 25
9. Passenger, seats amount: 25
10. Passenger, seats amount: 25
11. Passenger, seats amount: 25
12. Passenger, seats amount: 25
13. Passenger, seats amount: 25
14. Passenger, seats amount: 25
15. Passenger, seats amount: 25
16. Passenger, seats amount: 25
17. Passenger, seats amount: 25
18. Passenger, seats amount: 25
19. Passenger, seats amount: 25
20. Passenger, seats amount: 25
21. Passenger, seats amount: 25
22. Passenger, seats amount: 25
23. Passenger, seats amount: 25
