1. Train: 007T, current station: , route: 
2. Train: 001T, current station: , route: 
3. Train: 001P, current station: , route: 
4. Train: 010T, current station: , route: 
5. Train: 085C, current station: , route: 
6. Train: 001T, current station: , route: 
7. Train: 009C, current station: , route: 
8. Train: 001P, current station: , route: 
9. Train: 001P, current station: , route: 
10. Train: 001P, current station: , route: 
11. Train: 001P, current station: , route: 
12. Train: 001P, current station: , route: 
13. Train: 001P, current station: , route: 
14. Train: 001P, current station: , route: 
15. Train: 005P, current station: , route: 
16. Train: 001Z, current station: , route: 
