1. Train: 777T, current station: , route: 
2. Train: 777T, current station: , route: 
3. Train: 777T, current station: , route: 
4. Train: 777T, current station: , route: 
5. Train: 777T, current station: , route: 
6. Train: 777T, current station: , route: 
7. Train: 777T, current station: station1, route: station1_station2
8. Train: 777T, current station: , route: 
9. Train: 777T, current station: station1, route: station1_station2
10. Train: 777T, current station: station2, route: station1_station2
11. Train: 777T, current station: , route: 
12. Train: 777T, current station: station1, route: station1_station2
13. Train: 777T, current station: station2, route: station1_station2
14. Train: 777T, current station: station1, route: station1_station2
15. Train: 777T, current station: , route: 
16. Train: 777T, current station: station1, route: station1_station2
17. Train: 777T, current station: , route: 
18. Train: 777T, current station: station1, route: station1_station2
19. Train: 777T, current station: station2, route: station1_station2
20. Train: 777T, current station: , route: 
21. Train: 777T, current station: station1, route: station1_station2
22. Train: 777T, current station: , route: 
23. Train: 777T, current station: , route: 
24. Train: 777T, current station: , route: 
25. Train: 777T, current station: , route: 
26. Train: 777T, current station: , route: 
